prompt,completion
"How can I upload a logo","The space for the logo available is 200px * 40px on web. That’s the space we have available for the customers logo in menu topbar on web and in the contract. You can create a transparent PNG / SVG with the logo within the defined frame."
"What is the recommended logo format","And we recommend clients to upload a logo in SVG (vector format that’s not based on pixels) OR a @3x png (three times the size of logo displayed) to get a crisp and sharp one."
"Can I Create legal employment contracts","Remember that only users with the system role Admin or User admin can create employee contracts. The permission that is required is Users > General > Full access. Start by clicking 'New  employment contract'. Consider if you want to create the contract based on Norwegian, Finnish or Swedish legislation. Start from scratch or connect it to user already added to Huma"
"How to measure employee satisfaction","eNPS is an easy way to measure employee satisfaction and loyalty. It's based on asking an employee how likely they would be to recommend your workplace to others. Based one simple question ('On a scale of 0-10, how likely are you to recommend this company as a place to work?') eNPS = employee Net Promoter Score"
"What is eNPS","eNPS is an easy way to measure employee satisfaction and loyalty. It's based on asking an employee how likely they would be to recommend your workplace to others. Based one simple question ('On a scale of 0-10, how likely are you to recommend this company as a place to work?') eNPS = employee Net Promoter Score"
"Can you create handbooks in Huma","Handbooks in Huma are easy to create, easy to use and easy to maintain. In Huma you have ONE handbook. In the Handbook there are topics and they are grouped in categories. Each topic can be shared with either everyone or member of specific teams or locations. Employees will only see the topics that is shared with them. A topic can either be Draft or Published. Categories will only be displayed if it contains at least one published topic. The Handbook must be published for employees to be able to see the content that is shared with them."
"How to work with Equipment in Huma?","This is how you add new equipment: Click Add equipment - Click Add equipment type - Provide a name, description, variants and add an icon and background colour. Choose if the one or more of the following is required when registering - Start date (i.e. when did the employee receive the equipment) - End date (i.e. if you periodically change the equipment) - Documentation (if you want invoices/receipts as documentation)"
"How to publish News in Huma","When you press publish you can choose if it should be published to everyone in your company or if it only should be published to a specific team/location. Still, as of today, this only affects relevance of the published content,  and can be read by everyone in your company. You can also add tags before publishing news, to make it even easier for employees to find the relevant news-post. Below you can see how you add tags and how employees can filter news."
"How to download the Huma App","Go to hu.ma/app to download the app for App Store or Google Play Store"
"How to work with Tasks in Huma?","Structure your tasks and get an overview of what have been completed and what is to come. With Huma's task function, you can easily plan and carry out the entire HR year with each individual employee. Employee interviews, to-do lists in connection with new hires, check-ins, salary interviews and employee surveys - no matter how you choose to set up the year, Huma helps you with an overview and reminders."
"How to work with custom profile fields","You can use custom profile fields to add additional information about your employees beyond the standard default fields provided in Huma. Some examples are: Shirt size, Medical information, License plate"
"How to work with sick leave follow-up","The follow-up process differs between countries. Huma bases the process on which work schedule the employee is assigned to. At this point we support follow-up processes for Sweden and Norway. The process is started when the employee register a Sick leave absence, and ended when the Sick leave absence is ended. During the process, Huma will assign tasks to the responsible regarding important steps. Such as follow-up plan and dialogue meetings or reporting to Altinn/Försäkringskassan. Besides these legislation based tasks, Huma will send tasks once a week to remind them of checking up on the employee."
"How to work with digital signing in Huma","You need a System Role Digital signing to send documents for digital signing. The default Admin role has this activated. We offer the following for Huma Business and Huma Enterprise subscribers."
"What is Huma?","Huma is smarter and better HR software that people actually use"
"WHat is the core of Huma?","When employee administration is done right (and is easy) it provides real value for both company and employee. Collect all employee data, documents and processes in one place. Everyone has access to what they need (and nothing more)."
"What does it cost","Free: Because everyone deserves great HR, Free. Business: When you want a little more, € 4.99 per person / month. Enterprise: When you want all the features Huma provide, € 9.99 per person / month"
"Why Huma exists","Huma saw the light of day because the average person spends more than ⅓ of their life at work, and we want to make that part of life better, smarter and more enjoyable. We interviewed hundreds of managers, HR managers and employees throughout the last year. What we learned is that businesses and all the people working there deserve more intuitive, inspiring and intelligent technology to aid the most important resource: you."
"WHat are Humas beliefs","Huma's technology is developed with one simple philosophy: the service needs to be used by everyone to create value. We believe that today's HR softwares are made to solve problems in HR and not to aid every person at work. It results in something most of us know to much about: an expensive and unused software. Huma is here to challenge what an HR software can be. Our system has new and unique features which helps better workplace culture and engagement. Huma lifts your HR to more than a supporting service."
